证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
000617.SZ,617,中油资本,中国石油集团资本股份有限公司,CNPC Capital Company Limited,A股,上市
000619.SZ,619,海螺新材,海螺(安徽)节能环保新材料股份有限公司,"Conch (Anhui) Energy Saving and Environment Protection New Material Co., Ltd.",A股,上市
000620.SZ,620,新华联,新华联文化旅游发展股份有限公司,"Macrolink Culturaltainment Development Co.,Ltd.",A股,上市
000622.SZ,622,恒立实业,恒立实业发展集团股份有限公司,"Hengli Industrial Development Group Co., Ltd.",A股,上市
000623.SZ,623,吉林敖东,吉林敖东药业集团股份有限公司,"Jilin Aodong Pharmaceutical Group Co., Ltd.",A股,上市
000625.SZ,625,长安汽车,重庆长安汽车股份有限公司,Chongqing Changan Automobile Company Limited,A股,上市
000626.SZ,626,远大控股,远大产业控股股份有限公司,"Grand Industrial Holding Co.,Ltd.",A股,上市
000627.SZ,627,天茂集团,天茂实业集团股份有限公司,"Hubei Biocause Pharmaceutical Co.,Ltd.",A股,上市
000628.SZ,628,高新发展,成都高新发展股份有限公司,"ChengDu Hi-Tech Development Co.,Ltd.",A股,上市
000629.SZ,629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",A股,上市
000630.SZ,630,铜陵有色,铜陵有色金属集团股份有限公司,"Tongling Nonferrous Metals Group Co.,Ltd.",A股,上市
000631.SZ,631,顺发恒业,顺发恒业股份公司,Shunfa Hengye Corporation,A股,上市
000632.SZ,632,三木集团,福建三木集团股份有限公司,"Fujian Sanmu Group Co.,Ltd.",A股,上市
000633.SZ,633,合金投资,新疆合金投资股份有限公司,"Xinjiang Hejin Holding Co.,Ltd",A股,上市
000635.SZ,635,英力特,宁夏英力特化工股份有限公司,"Ningxia Younglight Chemicals Co.,Ltd.",A股,上市
000636.SZ,636,风华高科,广东风华高新科技股份有限公司,"Guang Dong Fenghua Advanced Technology (Holding) Co.,Ltd.",A股,上市
000637.SZ,637,茂化实华,茂名石化实华股份有限公司,"Maoming Petro-Chemical Shihua Co.,Ltd.",A股,上市
000638.SZ,638,*ST万方,万方城镇投资发展股份有限公司,"Vanfund Urban Investment&Development Co.,Ltd.",A股,上市
000639.SZ,639,西王食品,西王食品股份有限公司,"Xiwang Foodstuffs Co.,Ltd.",A股,上市
000650.SZ,650,仁和药业,仁和药业股份有限公司,"Renhe Pharmacy Co.,Ltd.",A股,上市
000651.SZ,651,格力电器,珠海格力电器股份有限公司,"Gree Electric Appliances,Inc.of Zhuhai",A股,上市
000652.SZ,652,泰达股份,天津泰达股份有限公司,"Tianjin TEDA Co., Ltd.",A股,上市
000655.SZ,655,金岭矿业,山东金岭矿业股份有限公司,"Shandong Jinling Mining Co.,Ltd.",A股,上市
000656.SZ,656,金科股份,金科地产集团股份有限公司,"Jinke Property Group Co.,Ltd.",A股,上市
000657.SZ,657,中钨高新,中钨高新材料股份有限公司,"China Tungsten and Hightech Materials Co.,Ltd.",A股,上市
000659.SZ,659,珠海中富,珠海中富实业股份有限公司,"Zhuhai Zhongfu Enterprise Co.,Ltd.",A股,上市
000661.SZ,661,长春高新,长春高新技术产业(集团)股份有限公司,Changchun High-Tech Industries (Group) Inc.,A股,上市
000663.SZ,663,永安林业,福建省永安林业(集团)股份有限公司,"Fujian Yongan Forestry (group) Joint-stock Co.,Ltd.",A股,上市
000665.SZ,665,湖北广电,湖北省广播电视信息网络股份有限公司,"Hubei Radio & Television Information Network Co., Ltd.",A股,上市
000666.SZ,666,经纬纺机,经纬纺织机械股份有限公司,Jingwei Textile Machinery Company Limited,A股,上市
000667.SZ,667,美好置业,美好置业集团股份有限公司,"Myhome Real Estate Development Group CO.,LTD.",A股,上市
000668.SZ,668,荣丰控股,荣丰控股集团股份有限公司,"Rongfeng Holding Group Co.,Ltd.",A股,上市
000669.SZ,669,ST金鸿,金鸿控股集团股份有限公司,"Jinhong Holding Group Co., Ltd.",A股,上市
000670.SZ,670,*ST盈方,盈方微电子股份有限公司,"Infotmic Co.,Ltd.",A股,上市
000671.SZ,671,阳光城,阳光城集团股份有限公司,"Yango Group Co.,Ltd",A股,上市
000672.SZ,672,上峰水泥,甘肃上峰水泥股份有限公司,"Gansu Shangfeng Cement Co., Ltd",A股,上市
000673.SZ,673,*ST当代,当代东方投资股份有限公司,"Lead Eastern Investment Co., Ltd",A股,上市
000676.SZ,676,智度股份,智度科技股份有限公司,"Genimous Technology Co.,Ltd.",A股,上市
000677.SZ,677,恒天海龙,恒天海龙股份有限公司,"CHTC HELON CO.,LTD.",A股,上市
000678.SZ,678,襄阳轴承,襄阳汽车轴承股份有限公司,"Xiangyang Automobile Bearing Co.,Ltd.",A股,上市
000679.SZ,679,大连友谊,大连友谊(集团)股份有限公司,"Dalian Friendship (Group) Co.,Ltd.",A股,上市
000680.SZ,680,山推股份,山推工程机械股份有限公司,"Shantui Construction Machinery Co.,Ltd.",A股,上市
000681.SZ,681,视觉中国,视觉(中国)文化发展股份有限公司,"Visual China Group Co.,Ltd.",A股,上市
000682.SZ,682,东方电子,东方电子股份有限公司,"Dongfang Electronics Co.,Ltd",A股,上市
000683.SZ,683,远兴能源,内蒙古远兴能源股份有限公司,Inner MongoliaYuan Xing Energy Company Limited,A股,上市
000685.SZ,685,中山公用,中山公用事业集团股份有限公司,"Zhongshan Public Utilities Group Co.,Ltd.",A股,上市
000686.SZ,686,东北证券,东北证券股份有限公司,"Northeast Securities Co.,Ltd",A股,上市
000687.SZ,687,华讯退,华讯方舟股份有限公司,"Huaxun Fangzhou Co., Ltd.",A股,上市
